Date,Close
2021-11-29,69.790001
2021-11-30,67.379997
2021-12-01,69.620003
2021-12-02,70.040001
2021-12-03,69.860001
2021-12-06,70.129997
2021-12-07,69.889999
2021-12-08,73.18
2021-12-09,72.690002
2021-12-10,73.699997
2021-12-13,74.5
2021-12-14,75.57
2021-12-15,75.510002
2021-12-16,76.940002
2021-12-17,78.779999
2021-12-20,76.870003
2021-12-21,76.57
2021-12-22,77.349998
2021-12-23,77.459999
2021-12-24,77.410004
2021-12-27,77.68
2021-12-28,77.540001
2021-12-29,76.110001
2021-12-30,76.220001
2021-12-31,76.089996
2022-01-03,73.980003
2022-01-04,73.489998
2022-01-05,73.809998
2022-01-06,73.050003
2022-01-07,73.120003
2022-01-10,72.139999
2022-01-11,72.279999
2022-01-12,72.730003
2022-01-13,71.849998
2022-01-14,71.459999
2022-01-17,71.379997
2022-01-18,70.949997
2022-01-19,71.160004
2022-01-20,70.419998
2022-01-21,70.540001
2022-01-24,70.610001
2022-01-25,71.010002
2022-01-26,69.400002
2022-01-27,69.559998
2022-01-28,70.199997
2022-01-31,70.139999
2022-02-01,71.82
2022-02-02,72.709999
2022-02-03,70.360001
2022-02-04,71.190002
2022-02-08,73.239998
2022-02-09,73.660004
2022-02-10,73.470001
2022-02-11,74.790001
2022-02-14,72.760002
2022-02-15,74.610001
2022-02-16,75.900002
2022-02-17,73.25
2022-02-18,72.5
2022-02-21,71.790001
2022-02-22,72.279999
2022-02-23,71.559998
2022-02-24,72.309998
2022-02-25,75.529999
2022-02-28,77.900002
2022-03-01,76.809998
2022-03-02,74.379997
2022-03-03,75.25
2022-03-04,75.730003
2022-03-07,74.519997
2022-03-08,76.900002
2022-03-09,79.519997
2022-03-10,78.5
2022-03-11,76.080002
2022-03-14,75.970001
2022-03-15,78.099998
2022-03-16,76.419998
2022-03-17,77.139999
2022-03-18,77.690002
2022-03-22,78.889999
2022-03-23,77.989998
2022-03-24,78.559998
2022-03-25,78.589996
2022-03-28,79.830002
2022-03-29,78.580002
2022-03-30,80.339996
2022-03-31,81.919998
2022-04-01,80.510002
2022-04-04,77.989998
2022-04-05,78.669998
